sliceName,ringId,name,icon,state,url
Datastores,adopt,AWS EBS,,,https://aws.amazon.com/ebs/
Datastores,adopt,AWS EFS,,,https://aws.amazon.com/efs/
Datastores,adopt,AWS S3,,,
Datastores,adopt,PostgreSQL,\ue76e,,https://aws.amazon.com/rds/postgresql/
Infrastructure as code,adopt,GitOps,,,https://akkireddy.medium.com/rethinking-gitops-moving-beyond-branch-based-deployment-4605f078ef0e
Infrastructure as code,assess,CDK,,,https://aws.amazon.com/cdk/
Infrastructure as code,assess,Crossplane,,,https://docs.crossplane.io/latest/software/install/
Infrastructure as code,assess,GitOps,,,https://akkireddy.medium.com/rethinking-gitops-moving-beyond-branch-based-deployment-4605f078ef0e
Infrastructure as code,assess,Terraform,\uf1062,,https://opentofu.org
Infrastructure as code,trial,Crossplane,,,https://docs.crossplane.io/latest/software/install/
Infrastructure,adopt,Containers,\uf4b7,,https://dygtighest.dk
Infrastructure,adopt,Hitachi SAN,,,https://172.24.11.50/mgr/app/action/report.StatReportAction/eventsubmit_doperform/ignored/f5/true
Infrastructure,adopt,Microsoft Entra,\uf0805,,https://www.microsoft.com/en-us/security/business/microsoft-entra
Infrastructure,adopt,VMWare,,,https://vmvc55u2.rootdom.dk/websso/SAML2/SSO/vsphere.local
Infrastructure,assess,AWS Backup Vault,,,
Infrastructure,assess,AWS ECR,,
Infrastructure,assess,AWS Route53,,,
Infrastructure,assess,AWS SNS,,
Infrastructure,assess,AWS SQS,,
Infrastructure,assess,AWS incident manager,,,
Infrastructure,assess,AWS kubernetes,,
Infrastructure,assess,AWS secret manager,,,https://docs.aws.amazon.com/systems-manager/latest/userguide/integration-ps-secretsmanager.html
Infrastructure,assess,ArgoCD,,,https://github.com/argoproj/argo-helm/tree/main/charts/argo-cd 
Infrastructure,assess,Azure,\uebd8,,https://portal.azure.com/#home
Infrastructure,assess,Backstage,,,https://github.com/backstage/charts
Infrastructure,assess,DockerHub,,
Infrastructure,assess,EKS-anywhere,,,https://aws.amazon.com/eks/eks-anywhere/
Infrastructure,assess,GitOps,,,https://akkireddy.medium.com/rethinking-gitops-moving-beyond-branch-based-deployment-4605f078ef0e
Infrastructure,assess,Github Actions,,,https://docs.github.com/en/actions
Infrastructure,assess,Github Enterprise Cloud,\uea84,,https://docs.github.com/en/enterprise-cloud@latest
Infrastructure,assess,Karpenter,,,https://karpenter.sh/v0.37/getting-started/getting-started-with-karpenter/
Infrastructure,assess,Kubernetes,\uf10fe,,https://github.com/test-jppolitikenshus/internal-developer-platform/blob/main/architecture-decision-records/006-container-orkestrering.md
Infrastructure,assess,Lambda,\uf0627,new,https://aws.amazon.com/lambda/
Infrastructure,assess,Terraform,\uf1062,up,https://opentofu.org
Infrastructure,assess,Ubuntu Linux,\ue73a,,https://ubuntu.com/aws
Infrastructure,assess,Veeam,,,https://veeent01.rootdom.dk:9443/#!vms
Infrastructure,assess,k6s,new,,
Infrastructure,hold,TeamCity,,,https://teamcity.jppol.dk/buildConfiguration/KitOnline_SensuGo_SensuBackend?branch=&mode=builds#all-projects
Languages,asses,Python,\uf40d,,https://python.org
Languages,assess,Go,\uf7b5,,https://golang.org
Languages,assess,Javascript,\ufbe4,,https://developer.mozilla.org/en-US/docs/Web/JavaScript
Languages,assess,Typescript,\ufbe4,,https://www.typescriptlang.org
Networking & Security,assess,Github Advanced Security,,,
Networking & Security,assess,https://www.coana.tech,,,
Networking & Security,assess,AWS SSM,,,https://docs.aws.amazon.com/systems-manager/latest/userguide/what-is-systems-manager.html
Networking & Security,assess,Cilium,,,https://docs.cilium.io/en/stable/installation/k8s-install-helm/
Networking & Security,assess,Falco,,,https://github.com/falcosecurity/charts
Networking & Security,assess,Istio,,,https://istio.io/latest/docs/setup/install/helm/
Networking & Security,assess,Kyverno,,,https://kyverno.github.io/kyverno/
Networking & Security,assess,SPIRE / SPIFFE,,,https://spiffe.io/docs/latest/spire-helm-charts-hardened-about/installation/
Networking & Security,assess,Trivy,,,https://aquasecurity.github.io/trivy/v0.28.1/docs/kubernetes/cli/scanning/
Observability,assess,Datadog,,,https://datadog.com
Observability,assess,Grafana,,up,https://grafana.admin.jppol.net:3000/d/e2GYYf5mz/memory-and-cpu-presentation-servers-copy?orgId=1
Observability,assess,OpenTelemetry,,,https://github.com/open-telemetry/opentelemetry-helm-charts
Observability,assess,Sensu,,down,https://sensu.admin.jppol.net/n/default/entities
Security,adopt,PaloAlto Firewalls,,,https://panorama.net.rootdom.dk/php/login.php?
Security,adopt,TrendOne Antivirus,,,
