sliceName,ringId,name,icon,state,url
Security,adopt,PaloAlto Firewalls,,,https://panorama.net.rootdom.dk/php/login.php?
Security,adopt,TrendOne Antivirus,,,
Workloads & Scaling,adopt,Containers,\uf4b7,up,https://dygtighest.dk
Workloads & Scaling,assess,Lambda,\uf0627,,https://aws.amazon.com/lambda/
Workloads & Scaling,adopt,Linux,,,
Workloads & Scaling,adopt,Windows,,,
Infrastructure,assess,Github Enterprise Cloud,\uea84,up,https://git.rootdom.dk/KIT-Online
Infrastructure,assess,Github Actions,,up,https://docs.github.com/en/actions
Infrastructure,hold,TeamCity,,down,https://teamcity.jppol.dk/buildConfiguration/KitOnline_SensuGo_SensuBackend?branch=&mode=builds#all-projects
Infrastructure,adopt,Microsoft Entra,\uf0805,,https://www.microsoft.com/en-us/security/business/microsoft-entra
Infrastructure,assess,Ubuntu,\ue73a,,https://ubuntu.com/aws
Infrastructure,adopt,VMWare,,,https://vmvc55u2.rootdom.dk/websso/SAML2/SSO/vsphere.local
Infrastructure,adopt,Hitachi SAN,,,https://172.24.11.50/mgr/app/action/report.StatReportAction/eventsubmit_doperform/ignored/f5/true
Infrastructure,assess,Veeam,,up,https://veeent01.rootdom.dk:9443/#!vms
Cloud Providers,adopt,AWS,\uf0ef,,https://jppol-sso.awsapps.com/start#/
Cloud Providers,assess,EKS-anywhere,,,https://aws.amazon.com/eks/eks-anywhere/
Cloud Providers,assess,Azure,\uebd8,,https://portal.azure.com/#home
Infrastructure as code,assess,Terraform,\uf1062,up,https://opentofu.org
Infrastructure as code,trial,Crossplane,,up,https://docs.crossplane.io/latest/software/install/
Infrastructure as code,assess,GitOps,,,https://akkireddy.medium.com/rethinking-gitops-moving-beyond-branch-based-deployment-4605f078ef0e
Observability,assess,Grafana,,up,https://grafana.admin.jppol.net:3000/d/e2GYYf5mz/memory-and-cpu-presentation-servers-copy?orgId=1
Observability,assess,OpenTelemetry,,up,https://github.com/open-telemetry/opentelemetry-helm-charts
Observability,assess,sensu,,up,https://sensu.admin.jppol.net/n/default/entities
Observability,assess,Datadog,,up,https://datadog.com





